Наименование,Ссылка,Пол,Вес,Год рождения,Возрастная группа,Продавец,Стоимость,Количество,Гены
Wildtype 66% Poss Pied & 66% Poss Het Axanthic (VPI)Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/703849,female,,                            2021                    ,                    B            , CPR ,£56,        1    ,"['66% Het Axanthic (VPI)', '66% Het Piebald']"
Bamboo Pastel CalicoBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/749056,female,,                            2020                    ,                    B            , CPR ,£385,        1    ,"['Bamboo', 'Pastel', 'Calico']"
2019 Leopard Pastel Pin YB PiedBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/853841,male,        1000g    ,                            2019                    ,                    A            , CRM ,"£1,300",        1    ,"['Pastel', 'Yellow Belly', 'Leopard', 'Pinstripe', 'Piebald']"
"Pastel, Cypress, Enchi, AsphaltBall Python",https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1093900,female,,,                    B            , Balls2u ,"£1,500",        1    ,"['Asphalt', 'Cypress', 'Enchi', 'Pastel']"
0.1 Axanthic Tsk Bamboo Nz'22Ball Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1018176,male,        120g    ,                            2022 May                    ,                    B            , NKP ,"€1,000",        1    ,"['Bamboo', 'Axanthic (TSK)']"
0.1 Bamboo Superfly 100% Het Axanthic TskBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1018184,female,        120g    ,                            2022 May                    ,                    B            , NKP ,€450,        1    ,"['Bamboo', 'Fire', '100% Het Axanthic (TSK)']"
Axanthic Tsk Firefly Bamboo Nz' 22Ball Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1018156,female,        120g    ,                            2022 May                    ,                    B            , NKP ,€500,        1    ,"['Bamboo', 'Fire', 'Pastel', 'Axanthic (TSK)']"
0.1 Bamboo Killer Bee Pos Fire 100%het Axanthic TskBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1018170,female,        120g    ,                            2022 May                    ,                    B            , NKP ,€250,        1    ,"['Bamboo', 'Fire', 'Spider', '100% Het Axanthic (TSK)']"
Champagne Vanilla Het HypoBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/618684,male,        200g    ,                            2021 Jul                    ,                    B            , Royal-Pythons ,€295,        1    ,"['Champagne', 'Vanilla', '100% Het Hypo']"
Super Fire PastelBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/906887,female,        2000g    ,                            2014 Sep                    ,                    A            , Royal-Pythons ,€395,        1    ,"['Fire', 'Pastel']"
Leopard Spotnose Het PiedBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/762650,male,        900g    ,                            2020                    ,                    A            , Royal-Pythons ,€450,        1    ,"['Spotnose', 'Leopard', '100% Het Piebald']"
Bumble Bee ClownBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/203373,male,        1000g    ,                            2017 Aug                    ,                    A            , Royal-Pythons ,€350,        1    ,"['Pastel', 'Spider', 'Clown']"
Black Head Cinnamon Ringer Gene Het HypoBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/654001,male,        300g    ,                            2021 Aug                    ,                    B            , Royal-Pythons ,€295,        1    ,"['Black Head', 'Cinnamon', '100% Het Hypo']"
0.1 Pastel Clown 180g @10/2022Ball Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1007473,female,        180g    ,                            2022 Jun                    ,                    B            , Serpents Stars ,€250,        1    ,"['Pastel', 'Clown']"
0.1 Pastel Yellowbelly Clown 180g @10/2022Ball Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1007458,female,        180g    ,                            2022 Jun                    ,                    B            , Serpents Stars ,€599,        1    ,"['Pastel', 'Yellow Belly', 'Clown']"
Calico PinstripeBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1016144,female,        2600g    ,                            2012                    ,                    A            , MKreptiles ,€120,        1    ,"['Calico', 'Pinstripe']"
Black Head Mojave Red & Ringer GeneBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1016179,male,        1400g    ,                            2016                    ,                    A            , MKreptiles ,€100,        1    ,"['Black Head', 'Mojave', 'Red Gene']"
Mojave WomaBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1278726,female,        1550g    ,                            2017                    ,                    A            , Bristol Balls ,£120,        1    ,"['Mojave', 'Woma']"
Hurricane Pastel Butter MaleBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1278714,male,        150g    ,                            2022 Aug                    ,                    B            , JJ’s Royals ,£350,        1    ,"['Butter', 'Hurricane', 'Pastel']"
Super Lemon Pastel Yellow Belly Or GravelBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1140864,female,        65g    ,                            2022 Aug                    ,                    B            , RRM ,£300,        1    ,"['Gravel', 'Yellow Belly']"
Albino Blackhead Het Red Axanthic Or Red Axanthic 66% Het VPIBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1278685,female,        550g    ,                            2020                    ,                    S            , JJ’s Royals ,£500,        1    ,"['Black Head', 'Het Red Axanthic', 'Albino', '66% Het Axanthic (VPI)']"
Proven Female Het Albino PH PiedBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1278655,female,        1800g    ,                            2018                    ,                    A            , JJ’s Royals ,£200,        1    ,"['100% Het Albino', 'Pos Het Piebald']"
Blue Eyed Leucistic (Super Butter)Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1278602,female,        75g    ,                            2022 Aug                    ,                    B            , Taking The Hiss ,£200,        1    ,[]
Yellow Belly 100% Het ClownBall Python,https://www.morphmarket.com/hu/c/reptiles/pythons/ball-pythons/1180163,female,        610g    ,                            2021 Jul                    ,                    S            , HM Ball Pythons ,€180,        1    ,"['Yellow Belly', '100% Het Clown']"
Piebald 66% Het ClownBall Python,https://www.morphmarket.com/hu/c/reptiles/pythons/ball-pythons/1180125,male,        720g    ,                            2021 Aug                    ,                    S            , HM Ball Pythons ,€250,        1    ,"['66% Het Clown', 'Piebald']"
C2-9 Banana Spider Butter Probable Female CB22Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1274425,female,        110g    ,                            2022 May                    ,                    B            , O-R ,£200,        1    ,"['Banana', 'Butter', 'Spider']"
C2-8 Probable Female Banana GHI Special Cb22Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1274421,female,        120g    ,                            2022 May                    ,                    B            , O-R ,£250,        1    ,"['Banana', 'GHI', 'Special']"
C2-7 Probable Female Spider Pastel Special Cb22Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1274411,female,        100g    ,                            2022 May                    ,                    B            , O-R ,£180,        1    ,"['Pastel', 'Special', 'Spider']"
C2-6 Male Pastel Butter Cb22Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1274405,male,        110g    ,                            2022 May                    ,                    B            , O-R ,£250,        1    ,"['Butter', 'Pastel']"
C2-5 Probable Female Pastel Butter Ghi Cb22Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1274398,female,        100g    ,                            2022 May                    ,                    B            , O-R ,£400,        1    ,"['Butter', 'GHI', 'Pastel']"
C2-4 Banana Butter Pastel Male CB22Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1274392,male,        130g    ,                            2022 May                    ,                    B            , O-R ,£150,        1    ,"['Banana', 'Butter', 'Pastel']"
C2-3 Banana Pastel Special Male CB22Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1274386,male,        160g    ,                            2022 May                    ,                    B            , O-R ,£300,        1    ,"['Banana', 'Pastel', 'Special']"
C2-2 Banana Special Probable Female Cb22Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1274382,female,        170g    ,                            2022 May                    ,                    B            , O-R ,£350,        1    ,"['Banana', 'Special']"
C2-1 Banana GHI Probable Female Cb22Ball Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1274373,female,        170g    ,                            2022 May                    ,                    B            , O-R ,£150,        1    ,"['Banana', 'GHI']"
Pastel 66% Het ClownBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1278476,female,,                            2022                    ,                    B            , Forever Royals ,£35,        1    ,"['Pastel', '66% Het Clown']"
Pastel 66% Het ClownBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1278471,male,,                            2022                    ,                    B            , Forever Royals ,£30,        1    ,"['Pastel', '66% Het Clown']"
McKenzie PiebaldBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1278430,female,,,                    B            , Akbp ,"€1,800",        1    ,"['Mckenzie', 'Piebald']"
Pastel Leopard 100% Het PiedBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1080216,female,        204g    ,                            2021 Sep                    ,                    B            , Ksk ,£140,        1    ,"['Pastel', 'Leopard', '100% Het Piebald']"
